Hai passato l'esame di Programmazione 1 durante il primo semestre?,Avevi già esperienza nell'ambito della programmazione (scuola superiore/corsi/da autodidatta)?,In quale fascia di voto hai passato l'esame?
Sì,Sì,28-30L
Sì,Sì,28-30L
Sì,Sì,18-23
Sì,Sì,28-30L
Sì,Sì,18-23
Sì,No,24-27
Sì,Sì,28-30L
No,No,24-27
No,No,18-23
Sì,No,28-30L
No,No,18-23
Sì,Sì,24-27
Sì,No,28-30L
No,No,28-30L
Sì,No,18-23
Sì,No,24-27
Sì,Sì,28-30L
No,No,18-23
No,No,18-23
No,No,18-23
Sì,No,24-27
Sì,Sì,28-30L
Sì,No,28-30L
Sì,Sì,24-27
No,No,18-23
No,No,18-23
No,Sì,18-23
No,Sì,24-27
No,No,18-23
No,No,24-27
Sì,No,18-23
Sì,No,18-23
No,No,18-23
Sì,No,18-23
Sì,No,18-23
