Matricola,Voto,Mese,Anno,Linguaggio
C02583,22.59,Gennaio,2018,Java
908920,30.57,Gennaio,2018,Java
896187,19.88,Gennaio,2018,Java
908816,30.05,Gennaio,2018,Java
896188,26.43,Gennaio,2018,Java
908838,25.44,Gennaio,2018,Java
909159,24.25,Gennaio,2018,Java
909682,25.44,Gennaio,2018,Java
910732,23.61,Gennaio,2018,Java
910161,28.21,Gennaio,2018,Java
909938,31.57,Gennaio,2018,Java
910291,26.97,Gennaio,2018,Java
909345,27.6,Gennaio,2018,Java
908892,25.62,Gennaio,2018,Java
908984,30.07,Gennaio,2018,Java
908872,25.09,Gennaio,2018,Java
894267,19.93,Gennaio,2018,Java
909541,26.52,Gennaio,2018,Java
909017,28.32,Gennaio,2018,Java
909585,26.43,Gennaio,2018,Java
909313,27.79,Gennaio,2018,Java
910481,28.24,Gennaio,2018,Java
909039,28.31,Gennaio,2018,Java
909153,29.34,Gennaio,2018,Java
892608,26.48,Gennaio,2018,Java
910648,26.38,Gennaio,2018,Java
894976,26.3,Gennaio,2018,Java
909078,25.94,Gennaio,2018,Java
908822,28.95,Gennaio,2018,Java
912532,27.67,Gennaio,2018,Java
910721,29.12,Gennaio,2018,Java
909484,30.5,Gennaio,2018,Java
909357,23.35,Gennaio,2018,Java
910222,31.46,Gennaio,2018,Java
908884,28.73,Gennaio,2018,Java
910020,26.98,Febbraio,2018,Java
909504,23.17,Febbraio,2018,Java
910535,23.52,Febbraio,2018,Java
909272,29.55,Febbraio,2018,Java
911502,20.77,Febbraio,2018,Java
893529,21.41,Febbraio,2018,Java
909720,23.01,Febbraio,2018,Java
894325,18.94,Febbraio,2018,Java
916152,24.12,Febbraio,2018,Java
910217,23.13,Febbraio,2018,Java
910427,24.26,Febbraio,2018,Java
907511,27.48,Febbraio,2018,Java
908815,26.88,Febbraio,2018,Java
908960,24.38,Febbraio,2018,Java
908880,20.1,Febbraio,2018,Java
908879,29.73,Febbraio,2018,Java
908982,26.01,Febbraio,2018,Java
909163,22.78,Febbraio,2018,Java
909607,23.62,Febbraio,2018,Java
908947,21.89,Febbraio,2018,Java
910667,22.29,Febbraio,2018,Java
910063,24.48,Febbraio,2018,Java
910230,24.34,Febbraio,2018,Java
886195,29.23,Febbraio,2018,Java
909049,25.12,Febbraio,2018,Java
912032,22.33,Febbraio,2018,Java
871209,25.86,Febbraio,2018,Java
909966,29.16,Febbraio,2018,Java
915966,23.52,Febbraio,2018,Java
909046,24.38,Febbraio,2018,Java
908849,26.4,Febbraio,2018,Java
910243,26.07,Febbraio,2018,Java
910081,24.8,Giugno,2018,Java
909977,23.11,Giugno,2018,Java
896123,22.2,Giugno,2018,Java
894075,27.09,Giugno,2018,Java
908906,26.09,Giugno,2018,Java
909042,23.6,Giugno,2018,Java
909680,27.75,Giugno,2018,Java
915990,21.13,Giugno,2018,Java
910972,29.38,Giugno,2018,Java
897160,26.01,Giugno,2018,Java
892875,24.34,Giugno,2018,Java
910628,23.18,Giugno,2018,Java
908823,20.45,Giugno,2018,Java
893133,29.08,Giugno,2018,Java
908886,29.36,Giugno,2018,Java
909762,22.89,Giugno,2018,Java
906819,27.48,Giugno,2018,Java
909439,28.01,Giugno,2018,Java
910506,27.11,Giugno,2018,Java
896193,24.05,Giugno,2018,Java
909106,28.38,Giugno,2018,Java
893458,22.43,Giugno,2018,Java
890861,23.06,Giugno,2018,Java
916150,21.12,Giugno,2018,Java
911894,24.31,Giugno,2018,Java
910604,25.48,Giugno,2018,Java
909080,26.59,Giugno,2018,Java
909190,27.09,Giugno,2018,Java
916074,24.78,Giugno,2018,Java
910311,25.22,Giugno,2018,Java
908877,25.45,Giugno,2018,Java
910433,25.8,Giugno,2018,Java
908777,25.72,Giugno,2018,Java
910067,27.52,Giugno,2018,Java
909165,29.11,Giugno,2018,Java
909040,24.06,Giugno,2018,Java
910579,24.73,Giugno,2018,Java
909661,23.58,Giugno,2018,Java
916693,24.75,Giugno,2018,Java
893280,27.58,Giugno,2018,Java
893202,24.09,Giugno,2018,Java
910632,26.04,Giugno,2018,Java
909932,27.32,Giugno,2018,Java
897041,23.24,Giugno,2018,Java
910432,28.7,Giugno,2018,Java
893628,18.63,Giugno,2018,Java
909923,22.14,Giugno,2018,Java
909779,22.79,Giugno,2018,Java
908857,32.0,Giugno,2018,Java
909126,25.7,Luglio,2018,Java
810305,24.0,Luglio,2018,Java
909186,28.3,Luglio,2018,Java
